ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
44,GOOD,word,old,50,new,2.59772427008,N,NA
44,HESP,nonword,new,NA,old,4.59097761475,K,2.07452031039
44,SOTE,nonword,new,NA,new,1.70062319748,N,NA
44,SIME,nonword,new,NA,new,1.17414146848,N,NA
44,DENC,nonword,old,36,old,1.24678445049,K,0.820082096383
44,LORT,nonword,old,3,old,2.08983139694,R,0.891853969544
44,HALL,word,old,35,new,2.74150757119,N,NA
44,KEPH,nonword,old,41,new,1.71309606545,N,NA
44,JOSP,nonword,old,15,old,1.47970359214,R,1.13081843406
44,LIKE,word,old,43,new,1.72939292528,N,NA
44,DUFE,nonword,new,NA,old,2.94978542253,K,1.57150565088
44,SHOP,word,new,NA,old,4.38781708851,K,0.724228933454
44,GATE,word,old,40,new,2.03879770823,N,NA
44,CHUR,nonword,new,NA,new,1.35550914705,N,NA
44,GWIC,nonword,new,NA,new,1.91957703047,N,NA
44,CASH,word,old,46,old,1.23917957582,K,1.31474121846
44,MYDE,nonword,old,31,new,1.74027646147,N,NA
44,NAUC,nonword,old,5,old,1.07887319289,R,0.658620607108
44,SONG,word,new,NA,old,2.37850777246,K,1.02617817558
44,SNOW,word,new,NA,new,1.39690507203,N,NA
44,TIME,word,new,NA,old,2.17641435191,K,0.746830672026
44,ROAD,word,old,11,old,2.97255027108,K,1.49069779366
44,REST,word,old,44,new,2.35102026351,N,NA
44,KNEE,word,new,NA,new,1.58874473162,N,NA
44,HAND,word,new,NA,new,1.98614758067,N,NA
44,CWEB,nonword,new,NA,old,1.24543734081,K,0.930269012228
44,HOME,word,old,48,old,1.04413725436,K,1.18768900074
44,DOYS,nonword,new,NA,new,6.40574639104,N,NA
44,CAKE,word,new,NA,new,2.57278031483,N,NA
44,LODD,nonword,old,4,old,2.30346390419,R,0.938489887863
44,YEAR,word,new,NA,old,2.18320678547,K,0.698343202472
44,GIRL,word,new,NA,new,2.13377798535,N,NA
44,JALT,nonword,old,32,old,2.7528364379,R,0.906848166138
44,COLV,nonword,new,NA,new,2.98633158021,N,NA
44,MIND,word,new,NA,old,1.37483355589,R,1.16352904215
44,WALK,word,old,9,old,4.17191747203,R,0.778670171276
44,TASP,nonword,new,NA,old,1.35115448758,K,0.778373727575
44,PAGE,word,old,6,new,4.38609575666,N,NA
44,PLOK,nonword,new,NA,old,1.16893481091,R,0.922435693443
44,SALT,word,new,NA,new,1.3806184344,N,NA
44,SEAT,word,new,NA,new,1.63528509252,N,NA
44,KISS,word,old,19,old,1.08358385041,R,0.778284838423
44,HEAD,word,new,NA,old,2.90653083287,K,0.923702802509
44,WUIL,nonword,old,47,new,1.49999511056,N,NA
44,HOAB,nonword,old,28,old,1.50042755529,R,1.12139311805
44,MAKE,word,old,1,old,1.0267430637,R,0.755821768194
44,COAT,word,old,16,old,2.12465088814,R,0.963272955269
44,WONE,nonword,old,27,old,2.68547433615,R,0.707691630349
44,LINE,word,old,23,old,1.79326659068,R,1.18777433224
44,WIND,word,old,21,new,1.85752558708,N,NA
44,LEFT,word,old,10,new,1.45156319812,N,NA
44,BIRD,word,old,38,new,1.88676108979,N,NA
44,NOGE,nonword,old,39,old,1.75919731706,K,2.10701047629
44,RILM,nonword,new,NA,new,2.17337524705,N,NA
44,SWAZ,nonword,old,12,old,0.987250244245,R,0.78822482191
44,ZEAM,nonword,new,NA,old,2.10482159071,R,0.922365026549
44,FOMB,nonword,new,NA,new,1.65519350208,N,NA
44,CLOF,nonword,old,18,new,1.3527944833,N,NA
44,BEEF,word,old,13,old,1.2934323661,R,1.01183508895
44,NARN,nonword,new,NA,new,1.71233028919,N,NA
44,DWEK,nonword,new,NA,new,2.1635672655,N,NA
44,BATH,word,new,NA,new,1.89080197178,N,NA
44,FACE,word,old,45,new,2.00473110192,N,NA
44,CHIE,nonword,new,NA,new,1.73013781384,N,NA
44,FEET,word,new,NA,new,1.51763419248,N,NA
44,TRUV,nonword,old,33,old,1.35065004416,K,0.850363377482
44,HALF,word,new,NA,old,1.84177494794,K,0.746148452163
44,LOOK,word,old,7,old,1.52862617001,R,1.02749195136
44,UFTS,nonword,new,NA,new,1.20060053281,N,NA
44,LIFE,word,new,NA,old,1.12775177136,K,0.754368880764
44,VABB,nonword,old,26,old,3.29540569708,R,1.86784734577
44,SNUZ,nonword,new,NA,new,1.72569382191,N,NA
44,BOOK,word,old,8,old,1.15323528275,R,0.794479476288
44,FACT,word,new,NA,new,2.05896344967,N,NA
44,KLIB,nonword,new,NA,old,1.32881185971,R,0.739300020039
44,SEFS,nonword,new,NA,new,1.72259160504,N,NA
44,TREE,word,old,42,new,1.50784887373,N,NA
44,VEUL,nonword,old,22,old,1.22185116075,K,1.49166579358
44,DAPT,nonword,old,24,new,1.67398635671,N,NA
44,DATE,word,new,NA,new,1.51597019471,N,NA
44,DOOR,word,new,NA,new,1.38119798899,N,NA
44,COLD,word,new,NA,new,1.57032343,N,NA
44,BLUE,word,new,NA,new,1.58828473091,N,NA
44,LATT,nonword,new,NA,old,1.59148116969,R,2.12360244617
44,SPIZ,nonword,old,29,old,1.63838730939,R,0.947537871078
44,WONS,nonword,old,25,old,1.44432276487,R,0.786779489368
44,WASH,word,old,34,new,1.37575355358,N,NA
44,MENC,nonword,old,17,new,2.76484664157,N,NA
44,TALK,word,new,NA,new,2.36148113385,N,NA
44,ZARC,nonword,new,NA,new,1.54153325967,N,NA
44,WORK,word,new,NA,old,1.30865189433,K,0.714398285374
44,ABST,nonword,old,14,old,1.68267523125,K,0.930325901136
44,DAUV,nonword,old,30,old,1.49303779006,K,1.02623506449
44,RETE,nonword,new,NA,new,1.46705516987,N,NA
44,RAIN,word,old,2,old,1.08385718428,R,0.82032609731
44,FOSK,nonword,old,37,new,1.40282417275,N,NA
44,CWUL,nonword,old,20,new,1.2785755042,N,NA
44,YAIL,nonword,new,NA,new,1.62707310729,N,NA
44,NOTE,word,old,49,new,2.40618816763,N,NA
44,SKIN,word,new,NA,new,1.4074721653,N,NA
