ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
215,FOOL,word,old,43,old,13.765812017,R,6.88776458055
215,SONG,word,old,47,old,7.16333336942,R,2.39335457608
215,BEND,word,new,NA,old,8.52347387373,R,5.59324728698
215,DOPT,nonword,new,NA,old,3.99178957753,K,1.12936500087
215,ABST,nonword,new,NA,new,1.7012090385,N,NA
215,COOK,word,new,NA,new,1.78581015766,N,NA
215,HEAR,word,old,37,old,7.93698778749,R,1.77738654613
215,TADE,nonword,old,41,new,1.75951786898,N,NA
215,CADT,nonword,new,NA,old,2.2690467909,K,0.945408403873
215,INPS,nonword,new,NA,old,3.00403719768,K,1.41736938432
215,PATE,nonword,new,NA,new,5.18565432727,N,NA
215,LORT,nonword,new,NA,new,1.87296880968,N,NA
215,GEEL,nonword,old,26,new,3.25039589033,N,NA
215,DEAR,word,new,NA,new,1.86916243844,N,NA
215,FERN,word,old,29,old,1.79757372662,R,1.85736528784
215,MEET,word,old,53,new,3.60994812287,N,NA
215,HIPT,nonword,old,4,old,1.93987885118,K,1.23300362565
215,NORT,nonword,old,5,old,3.61101714335,K,1.82427839749
215,LOAF,word,new,NA,new,4.90247851238,N,NA
215,LEAF,word,new,NA,old,3.58539229073,R,1.001423724
215,FILK,nonword,old,51,new,3.4856133461,N,NA
215,FLOU,nonword,new,NA,new,1.4828075394,N,NA
215,LIMB,word,old,2,old,1.44479351677,K,3.64161084406
215,BACK,word,old,45,new,2.49605645612,N,NA
215,JOSP,nonword,old,35,new,6.31174951233,N,NA
215,OURT,nonword,new,NA,old,2.07565376535,K,1.24928720854
215,FARE,word,old,58,old,1.71159492061,R,0.897598778829
215,DATE,word,new,NA,new,5.54596105032,N,NA
215,HANG,word,old,10,new,1.16126796603,N,NA
215,AELT,nonword,new,NA,new,1.4175103344,N,NA
215,GINP,nonword,old,17,old,1.29608112946,K,0.921297674999
215,YEAR,word,old,28,new,1.66533148475,N,NA
215,GATE,word,old,60,old,1.3179436978,R,0.849482677877
215,COAT,word,old,8,old,7.66734877415,R,0.905334793031
215,JASL,nonword,old,23,old,1.64440142363,K,0.905296832323
215,GLAF,nonword,new,NA,new,5.0585555546,N,NA
215,SOLD,word,new,NA,new,2.35212856531,N,NA
215,DUST,word,new,NA,new,2.83677908592,N,NA
215,AHLL,nonword,new,NA,new,1.60553982109,N,NA
215,MAID,word,new,NA,new,1.76760138571,N,NA
215,GORT,nonword,old,56,old,1.35168317892,K,2.16933148541
215,LOBT,nonword,new,NA,old,1.88006824628,K,0.673288958147
215,IGST,nonword,new,NA,old,3.35055541061,K,1.0730607491
215,HAIR,word,new,NA,new,1.88341983594,N,NA
215,BOAT,word,new,NA,new,5.62060851231,N,NA
215,PIFT,nonword,new,NA,old,2.87157377787,R,1.18504170142
215,BIRD,word,old,27,old,5.76484886557,R,1.08938444592
215,TEST,word,old,12,new,1.85875902325,N,NA
215,FILT,nonword,old,52,old,1.66709033959,K,1.001414828
215,BEAN,word,old,38,old,1.59738902375,K,2.92939401045
215,CHUR,nonword,new,NA,new,2.83679911494,N,NA
215,LOPT,nonword,new,NA,old,1.66161912121,K,1.53713538311
215,SLEE,nonword,old,30,new,2.88626425341,N,NA
215,WORN,word,old,36,old,1.82293277793,R,0.921390593052
215,DRIP,word,new,NA,new,4.33923005685,N,NA
215,SINK,word,old,54,new,1.76696952991,N,NA
215,FOAM,word,new,NA,new,2.14958876558,N,NA
215,ORKS,nonword,old,1,old,1.40006493032,K,0.905509902164
215,HALL,word,new,NA,new,2.71276740357,N,NA
215,MALE,word,new,NA,new,1.47696876712,N,NA
215,SILK,word,old,3,old,1.21544171125,R,0.953525781631
215,PART,word,new,NA,new,2.94102013111,N,NA
215,BITE,word,old,39,new,3.37559000589,N,NA
215,DOOT,nonword,old,21,old,1.24515107647,K,0.857330691069
