ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
234,JOSP,nonword,old,26,old,5.11079983413,R,3.17580722645
234,FILT,nonword,new,NA,old,13.3644473106,K,3.33680569753
234,RACE,word,new,NA,new,4.15930875391,N,NA
234,COAT,word,old,45,old,2.19852085039,R,1.56934443489
234,TRAS,nonword,old,60,old,3.51596783847,R,2.32123095542
234,SLIG,nonword,new,NA,new,5.65078656375,N,NA
234,FOAM,word,new,NA,old,11.5660383552,K,2.01709681749
234,SILK,word,new,NA,new,8.24761088938,N,NA
234,ILST,nonword,old,15,old,3.56139905751,R,3.00114853308
234,GATE,word,old,56,old,2.77754013613,R,1.12110875547
234,AHLL,nonword,new,NA,new,2.06780659407,N,NA
234,OLND,nonword,old,18,old,9.92712959275,R,1.89732217789
234,SELB,nonword,old,16,old,4.50206246972,R,2.52932326123
234,EGST,nonword,new,NA,new,1.92168272287,N,NA
234,PIFT,nonword,new,NA,new,2.76275656372,N,NA
234,BOPT,nonword,old,53,old,2.60161586851,R,2.20946014673
234,NOPH,nonword,old,49,new,3.11886631325,N,NA
234,ORKS,nonword,old,38,old,1.79163703695,R,1.06545311213
234,HEAR,word,old,32,old,2.90504325181,K,1.9396023415
234,SOLD,word,new,NA,new,1.71158599481,N,NA
234,MAID,word,old,36,old,1.77217195183,R,4.28122643009
234,HIRP,nonword,old,35,old,3.82529979199,K,2.33745009825
234,OBLL,nonword,new,NA,new,2.15083832294,N,NA
234,HALL,word,new,NA,new,5.89555414766,N,NA
234,OURT,nonword,new,NA,new,9.82349598035,N,NA
234,DUST,word,new,NA,new,3.62635696307,N,NA
234,YEAR,word,new,NA,new,5.81183215976,N,NA
234,AFTH,nonword,old,33,old,6.05260846391,K,1.04112941027
234,SAFE,word,new,NA,new,2.66771611571,N,NA
234,TADE,nonword,new,NA,new,1.50955764204,N,NA
234,WORN,word,new,NA,new,1.58456837386,N,NA
234,GORT,nonword,old,43,old,2.66589702666,R,0.873341854662
234,INPT,nonword,new,NA,old,3.32280596346,K,1.12099532411
234,LEAF,word,old,2,old,3.45667571574,R,0.841603979468
234,MUCH,word,new,NA,new,2.5606415756,N,NA
234,BOND,word,new,NA,new,3.96117887273,N,NA
234,DOOT,nonword,new,NA,new,1.7969272472,N,NA
234,HILL,word,new,NA,new,11.5741585232,N,NA
234,AELT,nonword,new,NA,new,2.399895899,N,NA
234,PIGE,nonword,new,NA,new,2.18856061623,N,NA
234,LIMB,word,old,7,old,2.35131872818,R,1.84930068254
234,SPOA,nonword,new,NA,new,3.24778136611,N,NA
234,BLOS,nonword,old,40,old,2.1767119579,K,1.49740852416
234,ONLT,nonword,old,48,new,3.69292478263,N,NA
234,SLEE,nonword,old,52,old,1.65647019818,K,1.08930826187
234,TUNE,word,old,8,old,1.61454669014,R,0.929164994508
234,FOLT,nonword,old,6,new,5.10956430808,N,NA
234,TILB,nonword,old,59,old,7.51479643583,R,1.32104808092
234,NULB,nonword,old,47,new,3.53784384206,N,NA
234,LOBT,nonword,new,NA,new,4.31515633687,N,NA
234,PART,word,old,30,old,2.80694484711,R,0.983592640609
234,HAIR,word,old,29,old,1.0952764973,R,0.977621309459
234,PATE,nonword,new,NA,new,2.84872332588,N,NA
234,DEAR,word,old,11,old,1.35385250673,K,0.993402220309
234,BACK,word,new,NA,new,5.25290247798,N,NA
234,IRON,word,new,NA,new,1.67190948501,N,NA
234,IGST,nonword,new,NA,old,8.96311694384,R,2.721311111
234,LORT,nonword,new,NA,new,2.60764762759,N,NA
234,SOTE,nonword,new,NA,new,1.96848709136,N,NA
234,BAIL,word,new,NA,new,5.01366906241,N,NA
234,DELP,nonword,new,NA,new,3.77749461681,N,NA
234,DRIP,word,old,22,old,2.28909163922,R,0.793345693499
234,GAME,word,new,NA,new,3.40573677048,N,NA
234,HOME,word,new,NA,new,5.48304078728,N,NA
234,BOAT,word,old,17,old,1.98806880414,K,1.17728986591
234,ABST,nonword,new,NA,new,4.75602600724,N,NA
234,FARB,nonword,new,NA,old,3.62546573579,K,1.76891567931
234,HANG,word,old,44,new,2.02228680253,N,NA
234,LOPT,nonword,new,NA,new,6.29010723904,N,NA
234,TOLR,nonword,new,NA,new,2.62178689986,N,NA
234,KLIB,nonword,old,27,old,1.60835877806,K,1.10543626547
234,LONT,nonword,new,NA,new,3.98993148655,N,NA
234,TEST,word,old,28,new,3.56837649643,N,NA
234,CARD,word,new,NA,new,3.14638780802,N,NA
234,TROB,nonword,old,19,old,6.29871597514,R,3.913100373
234,SONG,word,new,NA,new,4.31544943154,N,NA
234,NORT,nonword,new,NA,new,3.31875893846,N,NA
234,KING,word,new,NA,new,4.23457871005,N,NA
234,SALT,word,new,NA,new,1.78090031818,N,NA
234,DATE,word,new,NA,new,3.93994288892,N,NA
234,DESK,word,old,12,old,1.69608294219,R,1.81748878211
234,FLOU,nonword,new,NA,new,2.19224004447,N,NA
234,FOOL,word,old,3,old,2.5054507181,R,1.51338538527
234,MEET,word,new,NA,old,6.23558108136,K,1.74521800876
234,PALE,word,old,34,old,1.78209519014,K,0.737153869122
234,KNOO,nonword,old,51,old,1.89263727143,R,0.689330942929
234,BEND,word,new,NA,new,6.01803034171,N,NA
234,GEEL,nonword,old,39,old,2.28028748184,R,0.881377372891
234,FERN,word,old,1,old,2.06483918428,K,0.825136058033
234,GLAF,nonword,old,57,old,3.76706202328,R,0.777398858219
234,BOMB,word,old,13,old,1.35755542293,K,0.897332224995
234,SEAT,word,new,NA,new,4.31791806594,N,NA
234,GINP,nonword,old,9,old,1.82504787669,R,0.752957873046
234,BITE,word,old,23,new,4.77768435329,N,NA
234,ORTT,nonword,new,NA,new,3.60110654309,N,NA
234,CELL,word,old,20,old,1.14023708925,K,0.817469347268
234,FILK,nonword,old,4,old,1.79027748108,R,1.12128280476
234,COOK,word,old,10,old,2.66221599653,R,0.753036081791
234,INPS,nonword,old,14,old,3.28307729959,R,1.36941106245
234,WALL,word,old,55,old,1.78164825216,R,0.705455165356
234,BILP,nonword,old,54,old,2.38606798649,K,1.22502493858
234,JUMP,word,old,31,old,1.55604084209,R,2.06541272998
234,JASL,nonword,old,25,old,1.72301181406,K,1.33724922314
234,NOST,nonword,new,NA,new,4.80013170466,N,NA
234,WASH,word,old,41,old,2.38190436363,R,1.77699239552
234,DOVE,word,old,37,old,1.18840923533,K,1.76926861703
234,NIST,nonword,old,46,new,5.11870223656,N,NA
234,LOAF,word,new,NA,new,3.59044780582,N,NA
234,SINK,word,new,NA,new,3.97548151016,N,NA
234,PAIN,word,old,5,old,3.07633401826,K,1.2253109403
234,BIRD,word,old,24,new,3.11796057969,N,NA
234,DOPT,nonword,old,42,new,2.21265951917,N,NA
234,FINE,word,old,21,old,2.99998863786,R,1.02552435547
234,MALE,word,old,50,new,3.77713372186,N,NA
234,COME,word,new,NA,new,2.31972583756,N,NA
234,CADT,nonword,new,NA,new,2.74071759731,N,NA
234,CHUR,nonword,new,NA,new,2.40255073085,N,NA
234,FARE,word,new,NA,new,3.86699064076,N,NA
234,BEAN,word,new,NA,new,6.01145998761,N,NA
234,HIPT,nonword,old,58,old,2.04817571118,R,0.929282717407
